data,tasso_positivita,tasso_positivita_GaussianProcesses,tasso_positivita_MultilayerPerceptron,tasso_positivita_LinearRegression,tasso_positivita_SMOreg
2021-07-12,1.206997,,,,
2021-07-13,0.796705,,,,
2021-07-14,1.022322,,,,
2021-07-15,1.285865,,,,
2021-07-16,1.409519,,,,
2021-07-17,1.274934,,,,
2021-07-18,1.892067,,,,
2021-07-19,2.325764,,,,
2021-07-20,1.626849,,,,
2021-07-21,1.811593,,,,
2021-07-22,2.300958,,,,
2021-07-23,2.164243,,,,
2021-07-24,1.9851,,,,
2021-07-25,2.684925,,,,
2021-07-26,3.532131,,,,
2021-07-27,1.869445,,,,
2021-07-28,2.292411,,,,
2021-07-29,2.745229,,,,
2021-07-30,2.674495,,,,
2021-07-31,2.459035,,,,
2021-08-01,3.171774,,,,
2021-08-02,3.833075,,,,
2021-08-03,2.310234,,,,
2021-08-04,3.057271,,,,
2021-08-05,3.40673,,,,
2021-08-06,2.697246,,,,
2021-08-07,2.348714,,,,
2021-08-08,2.818029,,,,
2021-08-09,4.083061,,,,
2021-08-10,2.33118,,,,
2021-08-11,3.029052,,,,
2021-08-12,3.350709,,,,
2021-08-13,3.285792,,,,
2021-08-14,2.829854,,,,
2021-08-15,3.520855,,,,
2021-08-16,4.963456,,,,
2021-08-17,2.214867,,,,
2021-08-18,3.163106,,,,
2021-08-19,3.515211,,,,
2021-08-20,3.273874,,,,
2021-08-21,2.92691,,,,
2021-08-22,3.374179,,,,
2021-08-23,4.112847,,,,
2021-08-24,2.2821,,,,
2021-08-25,3.088127,,,,
2021-08-26,3.269314,,,,
2021-08-27,2.947868,,,,
2021-08-28,2.337595,,,,
2021-08-29,2.671167,,,,
2021-08-30,3.876943,,,,
2021-08-31,1.787136,,,,
2021-09-01,2.141138,,,,
2021-09-02,2.306981,,,,
2021-09-03,2.272313,,,,
2021-09-04,1.858156,,,,
2021-09-05,2.046151,,,,
2021-09-06,2.500874,,,,
2021-09-07,1.48025,,,,
2021-09-08,1.961388,,,,
2021-09-09,1.894548,,,,
2021-09-10,1.965192,,,,
2021-09-11,1.555997,,,,
2021-09-12,1.744477,,,,
2021-09-13,2.332459,,,,
2021-09-14,1.262112,,,,
2021-09-15,1.520465,,,,
2021-09-16,1.670764,,,,
2021-09-17,1.599556,,,,
2021-09-18,1.286197,,,,
2021-09-19,1.456154,,,,
2021-09-20,1.965845,,,,
2021-09-21,1.022481,,,,
2021-09-22,1.355541,,,,
2021-09-23,1.302542,,,,
2021-09-24,1.321675,,,,
2021-09-25,0.986039,,,,
2021-09-26,1.121928,,,,
2021-09-27,1.428145,,,,
2021-09-28,0.882027,,,,
2021-09-29,1.087148,,,,
2021-09-30,1.231722,,,,
2021-10-01,1.160259,,,,
2021-10-02,0.930609,,,,
2021-10-03,1.037907,,,,
2021-10-04,1.318998,,,,
2021-10-05,0.765168,,,,
2021-10-06,1.071998,,,,
2021-10-07,0.988041,,,,
2021-10-08,1.113173,,,,
2021-10-09,0.796593,,,,
2021-10-10,0.843566,,,,
2021-10-11,1.320834,,,,
2021-10-12,0.79103,,,,
2021-10-13,0.993744,,,,
2021-10-14,0.821899,,,,
2021-10-15,0.539875,,,,
2021-10-16,0.631276,,,,
2021-10-17,0.639547,,,,
2021-10-18,0.726312,,,,
2021-10-19,0.407402,,,,
2021-10-20,0.762335,,,,
2021-10-21,0.660204,,,,
2021-10-22,0.796769,,,,
2021-10-23,0.794997,,,,
2021-10-24,0.922681,,,,
2021-10-25,1.139915,,,,
2021-10-26,0.63369,,,,
2021-10-27,0.98226,,,,
2021-10-28,0.853183,,,,
2021-10-29,1.123683,,,,
2021-10-30,1.021887,,,,
2021-10-31,1.292515,,,,
2021-11-01,1.9206,,,,
2021-11-02,1.188988,,,,
2021-11-03,0.723257,,,,
2021-11-04,1.147429,,,,
2021-11-05,1.244723,,,,
2021-11-06,1.374903,,,,
2021-11-07,1.339096,,,,
2021-11-08,1.684764,,,,
2021-11-09,0.934196,,,,
2021-11-10,1.618275,,,,
2021-11-11,1.438205,,,,
2021-11-12,1.706836,,,,
2021-11-13,1.581136,,,,
2021-11-14,1.698635,,,,
2021-11-15,2.067316,,,,
2021-11-16,1.124272,,,,
2021-11-17,1.891533,,,,
2021-11-18,1.699975,,,,
2021-11-19,1.958075,,,,
2021-11-20,2.010222,,,,
2021-11-21,1.993188,,,,
2021-11-22,2.393392,,,,
2021-11-23,1.457608,,,,
2021-11-24,2.212958,,,,
2021-11-25,2.117545,,,,
2021-11-26,2.456298,,,,
2021-11-27,2.15732,,,,
2021-11-28,2.522864,,,,
2021-11-29,2.889493,,,,
2021-11-30,1.772847,,,,
2021-12-01,2.629079,,,,
2021-12-02,2.473428,,,,
2021-12-03,2.894068,,,,
